%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.name6,field.name7,field.name8,field.name9,field.name10,field.name11,field.name12,field.name13,field.name14,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6,field.position7,field.position8,field.position9,field.position10,field.position11,field.position12,field.position13,field.position14,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.velocity5,field.velocity6,field.velocity7,field.velocity8,field.velocity9,field.velocity10,field.velocity11,field.velocity12,field.velocity13,field.velocity14,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4,field.effort5,field.effort6,field.effort7,field.effort8,field.effort9,field.effort10,field.effort11,field.effort12,field.effort13,field.effort14
13201000000,1303,13198000000,,l_wheel_joint,r_wheel_joint,torso_lift_joint,bellows_joint,head_pan_joint,head_tilt_joint,shoulder_pan_joint,shoulder_lift_joint,upperarm_roll_joint,elbow_flex_joint,forearm_roll_joint,wrist_flex_joint,wrist_roll_joint,l_gripper_finger_joint,r_gripper_finger_joint,0.0751248788107,-0.149054609157,-1.54894147307e-06,0.00663525211215,-0.000497297956605,0.00243785882048,3.00060990099e-06,-1.21922567948,5.91510998671e-06,1.20845889436,-1.23485959946e-06,1.58990131034,2.15438526663e-06,0.0499320110523,0.0499326387258,-0.000159623680674,-0.00017146845173,0.000186952571575,0.000420244352043,-0.000790969757457,-0.00394534479158,-0.000603186461743,0.00381579728339,0.00102605404686,0.0270060512488,-0.000375926626979,-0.0341890656925,0.00037507774098,-0.00887126539203,-0.00879034287531,0.0,0.0,0.0,-1.66951275452,0.00357113134134,-0.0612997302397,0.104303783261,-32.3055704304,-0.0935388364272,-18.401727503,-0.31447690857,0.278015371816,-0.0750949014912,10.0006276735,9.99937232649
13208000000,1304,13208000000,,l_wheel_joint,r_wheel_joint,torso_lift_joint,bellows_joint,head_pan_joint,head_tilt_joint,shoulder_pan_joint,shoulder_lift_joint,upperarm_roll_joint,elbow_flex_joint,forearm_roll_joint,wrist_flex_joint,wrist_roll_joint,l_gripper_finger_joint,r_gripper_finger_joint,0.0751243563808,-0.149046505491,-1.610342033e-07,0.00663823730379,-0.000499401603091,0.00250068510663,2.47865035252e-06,-1.21922647691,2.39178369466e-06,1.2087511773,1.06085577301e-06,1.58957926857,-2.74826643043e-06,0.0499322331669,0.0499324165482,-0.000378951413153,0.000243776001803,0.000152486311167,0.000324543716859,-0.00058722565259,0.00379621967008,-0.000637837434047,0.00104891981043,0.000752876061375,0.0287574539332,-0.000224331575831,-0.0330745547446,2.16201580732e-05,-0.00884620545079,-0.00881540309965,0.0,0.0,0.0,-1.66769304814,0.00317205771754,-0.0864092122091,0.137274929763,-31.1854084478,-0.0898188355081,-18.7934471288,-0.357425675034,-0.0657665452187,-0.00350986059183,10.0001833814,9.99981661864
13218000000,1305,13218000000,,l_wheel_joint,r_wheel_joint,torso_lift_joint,bellows_joint,head_pan_joint,head_tilt_joint,shoulder_pan_joint,shoulder_lift_joint,upperarm_roll_joint,elbow_flex_joint,forearm_roll_joint,wrist_flex_joint,wrist_roll_joint,l_gripper_finger_joint,r_gripper_finger_joint,0.0751250563261,-0.149047602071,-1.17843402882e-08,0.00663506611057,-0.000503562876397,0.00246581109448,2.82179350108e-06,-1.21920333477,4.30654535055e-06,1.20903432606,-7.58497354703e-07,1.58923916742,4.62627768094e-07,0.049931971232,0.0499326784266,-0.000133187166301,0.000156546476613,5.78094764434e-05,-7.9080180676e-05,-0.000736234421359,0.000752692159342,-0.000581567021231,0.00184436696889,0.000847358674796,0.0289182653451,-0.00030045225329,-0.0341847987974,0.000281127595013,-0.0088589954165,-0.008802613275,0.0,0.0,0.0,-1.65679099617,0.00348672034831,-0.0762324093123,0.116076126698,-31.3854986182,-0.0912987469381,-18.6802835115,-0.317535465106,-0.0372872735434,-0.0545426752115,10.0007071946,9.99929280538
13228000000,1306,13228000000,,l_wheel_joint,r_wheel_joint,torso_lift_joint,bellows_joint,head_pan_joint,head_tilt_joint,shoulder_pan_joint,shoulder_lift_joint,upperarm_roll_joint,elbow_flex_joint,forearm_roll_joint,wrist_flex_joint,wrist_roll_joint,l_gripper_finger_joint,r_gripper_finger_joint,0.0751389635163,-0.149041969154,-5.91488217638e-06,0.00662885406884,-0.000505395609588,0.00251008404504,1.32290951269e-05,-1.2191809218,-1.15166019281e-05,1.20934246528,4.2995872338e-06,1.58886504845,-6.03678572464e-06,0.0499323190456,0.0499323305542,0.00128098068367,0.000533929390563,-0.000228661815076,-0.000193131279334,-0.000248332794594,0.00582853142837,0.000593058797402,0.0021935273922,-0.000664905856637,0.0310662234035,0.000110170320186,-0.0372846388286,-0.000207254297909,-0.00881332013392,-0.008848288566,0.0,0.0,0.0,-1.6531245955,0.00251824802754,-0.0927881156361,-0.279050328608,-31.4623631221,-0.0659863540214,-19.2211312832,-0.438600552117,0.504212433876,0.0312155632197,10.0000115085,9.99998849148
13237000000,1307,13238000000,,l_wheel_joint,r_wheel_joint,torso_lift_joint,bellows_joint,head_pan_joint,head_tilt_joint,shoulder_pan_joint,shoulder_lift_joint,upperarm_roll_joint,elbow_flex_joint,forearm_roll_joint,wrist_flex_joint,wrist_roll_joint,l_gripper_finger_joint,r_gripper_finger_joint,0.0751292800715,-0.149064811122,-6.29649537219e-07,0.00663764115185,-0.000506240728526,0.00241211983737,6.23216280182e-06,-1.21913803223,3.33461095892e-06,1.20962157903,-8.19517605777e-07,1.58850769488,6.69193696012e-07,0.0499315678346,0.0499330816718,-0.00014149683429,-0.000835930342422,0.000206105341393,0.00046450299369,-0.000346876169561,-0.00441262696195,-0.000414839583538,0.00294704947188,0.000540979556307,0.0294785788628,-0.000152145586241,-0.036076416957,4.30102893524e-05,-0.00887051804968,-0.00879109411755,0.0,0.0,0.0,-1.671101569,0.00271871525322,-0.0591257142352,0.0339155448207,-31.8742379066,-0.0871865186519,-18.5232692978,-0.359582857337,0.177371925189,-0.0195887013717,10.0015138372,9.99848616284
13248000000,1308,13248000000,,l_wheel_joint,r_wheel_joint,torso_lift_joint,bellows_joint,head_pan_joint,head_tilt_joint,shoulder_pan_joint,shoulder_lift_joint,upperarm_roll_joint,elbow_flex_joint,forearm_roll_joint,wrist_flex_joint,wrist_roll_joint,l_gripper_finger_joint,r_gripper_finger_joint,0.0751332760639,-0.149046052115,-6.18760982402e-08,0.00663697581926,-0.000500778935113,0.00244646788051,5.06948060508e-06,-1.2191344848,3.17285375129e-06,1.20992794479,6.89320759584e-07,1.5881636408,-2.97631198087e-06,0.0499322019996,0.0499324474609,0.000293620351884,0.000473542868986,0.000109199953921,0.000104806481301,0.000257336015474,-0.0023321422885,-0.000364008229785,0.00142897407364,0.000763076513946,0.0299834445483,-0.000263696389396,-0.0349099276241,0.000155403285199,-0.00882344349551,-0.00883816514095,0.0,0.0,0.0,-1.66187185136,0.00148844370951,-0.0663976095497,0.0402887040003,-31.2073410128,-0.0939489384023,-18.454351417,-0.330764445359,-0.252699462329,-0.0370508863506,10.0002454613,9.99975453873
13260000000,1309,13258000000,,l_wheel_joint,r_wheel_joint,torso_lift_joint,bellows_joint,head_pan_joint,head_tilt_joint,shoulder_pan_joint,shoulder_lift_joint,upperarm_roll_joint,elbow_flex_joint,forearm_roll_joint,wrist_flex_joint,wrist_roll_joint,l_gripper_finger_joint,r_gripper_finger_joint,0.0751321310074,-0.149043139949,-1.58704725603e-09,0.00663341211795,-0.000496291943502,0.00248190345227,7.41203584465e-06,-1.21910400219,2.42028091968e-06,1.21024556589,-7.39506547554e-07,1.58777718438,2.21737547879e-06,0.0499317631783,0.0499328862056,3.83734811752e-05,0.000317505430328,3.24531905468e-05,-0.00016883426467,0.000141580537021,0.00156536559867,-0.000303387018526,0.00249820140026,0.000574748246052,0.0313793969435,-0.000214297135375,-0.0376815910671,0.000335374858511,-0.00886162830845,-0.00879998192339,0.0,0.0,0.0,-1.65413237125,0.00170200669997,-0.079153200364,-0.0398333290932,-31.5562153635,-0.0877552071014,-18.7184626038,-0.326926050734,0.137170639441,-0.079179289141,10.0011230273,9.99887697267
13268000000,1310,13268000000,,l_wheel_joint,r_wheel_joint,torso_lift_joint,bellows_joint,head_pan_joint,head_tilt_joint,shoulder_pan_joint,shoulder_lift_joint,upperarm_roll_joint,elbow_flex_joint,forearm_roll_joint,wrist_flex_joint,wrist_roll_joint,l_gripper_finger_joint,r_gripper_finger_joint,0.0751345773899,-0.14906608787,-3.02294609017e-06,0.00663295095041,-0.000492617744236,0.00252191755687,4.71604582852e-06,-1.21907250117,1.15983860516e-05,1.21057386414,-2.73767565062e-06,1.58737193815,6.85201578143e-07,0.0499319270856,0.0499327222396,0.000715307193589,-0.000860657556569,8.46423980305e-05,0.000257870921075,0.000241207077296,0.00502514223387,-0.000595264283641,0.00331640304735,0.00143449217267,0.0328649003674,-0.000474368805121,-0.0404078134212,0.000313374937215,-0.00885272014727,-0.0088088889283,0.0,0.0,0.0,-1.66506237889,0.00148805682235,-0.0907329534077,0.0684701796839,-31.8839223419,-0.10719215212,-18.9857220539,-0.254011591695,0.585836358811,-0.0771851285623,10.000795154,9.99920484601
13279000000,1311,13278000000,,l_wheel_joint,r_wheel_joint,torso_lift_joint,bellows_joint,head_pan_joint,head_tilt_joint,shoulder_pan_joint,shoulder_lift_joint,upperarm_roll_joint,elbow_flex_joint,forearm_roll_joint,wrist_flex_joint,wrist_roll_joint,l_gripper_finger_joint,r_gripper_finger_joint,0.0751248274549,-0.1490632481,-3.1970704639e-07,0.00663855709766,-0.000484992404941,0.00247522338649,1.13874150829e-05,-1.21905091819,-1.29358018963e-06,1.21088223262,2.23212759209e-06,1.5870081053,-3.49280811029e-06,0.0499324494663,0.0499321997796,-0.000771068005577,-0.00136621494396,0.000191236859993,0.000436891133384,0.000738289618256,0.00252450242585,0.000180224383247,0.00187021796781,0.00014261533685,0.0324334403529,-4.19888102584e-05,-0.0380898334186,7.11791263538e-05,-0.0088219839318,-0.00883962560512,0.0,0.0,0.0,-1.67060151613,0.000463390383253,-0.0818302088721,-0.217365485075,-31.3470200024,-0.0833413563446,-18.7129916887,-0.381312768102,0.0389378499736,-0.0248064770933,9.99975031329,10.0002496867
13288000000,1312,13288000000,,l_wheel_joint,r_wheel_joint,torso_lift_joint,bellows_joint,head_pan_joint,head_tilt_joint,shoulder_pan_joint,shoulder_lift_joint,upperarm_roll_joint,elbow_flex_joint,forearm_roll_joint,wrist_flex_joint,wrist_roll_joint,l_gripper_finger_joint,r_gripper_finger_joint,0.0751269206254,-0.149042401017,-2.92033089423e-08,0.00663626070363,-0.000490988809323,0.00243255804598,2.67293589395e-06,-1.2190316481,8.33365375819e-07,1.2112054222,4.70794785734e-06,1.58662949228,-7.71133884747e-06,0.0499323177824,0.0499323313727,-0.000240358264744,0.00172656850206,8.41515342865e-05,8.13144167851e-08,-0.000553715207661,-0.00302517123934,-0.000730655811603,0.00206896525256,-7.36216320247e-05,0.0323852880376,0.000312706429152,-0.0381203094038,-0.000589908009764,-0.00884524978349,-0.00881636195839,0.0,0.0,0.0,-1.65907085918,0.00307138565261,-0.0639012276612,0.179975823374,-31.3327452982,-0.0789781261461,-18.5041405016,-0.509814763758,-0.168316331471,0.126292032726,10.0000135903,9.99998640975
